ID,Sender,Reciever,From,To,Keywords ,Date
168,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, Ross, council, membership","August 3, 1689"
169,Sir Adam Blair ,Mr. Graham,"55.948612, -3.200833","55.950558, -3.185556","Dundee, Mackay, Killiecrankie, news, Mr. Church","August 3, 1689"
170,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Mackay, parliament, west, K. James, King William, Hamilton, Club","August 4, 1689"
171,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Ireland, K. James, intelligence, Rooke, coast, dragoons, Dunkel, landings","August 6, 1689"
172,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","burning letters, court, providence, church matters, Scotland","August 6, 1689"
173,John Anderson of Dowhill ,Lord Melville ,"55.860916, -4.251433","51.50673486004276, -0.12083646321188168","magistrate, council, bishopric, cathedral","August 6, 1689"
174,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, church government, regiments, Mackay, Lanier, Argyllshire, Siege of Derry, K. James, highlands, French fleet, King William, Lochaber, Club","August 7, 1689"
175,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Balfour, Mackay, Lowlands, Perthshire, Angus, Dutch and English forces, Irish invasion, Shrewsbury, K. James","August 8, 1689"
176,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","Mackay, Dundee, Dutch and English forces, Ireland, Scotland, frigates, western coast, siege of Londonderry","August 8, 1689"
177,Lord Melville,Major-General Mackay ,"51.50673486004276, -0.12083646321188168",,"Hamilton, K. William, rebels, public interest, Dundee, Atholl, Balfour, Ireland, Derry, Dublin, K. James, Solmes, Schomberg","August 8, 1689"
178,Lord Melville,Lord Cassillis ,"51.499390, -0.127465","56.1052079125, -4.9022880575",Court,"August 8, 1689"
179,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, parliament, Hamilton, Lochaber, Mackay","August 8,1689"
180,William Cuningham ,Lord Cardross ,"56.059, -4.352","55.948889, -3.190556","troops, movements, churches","August 9, 1689"
181,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Stair, church settlement, presbytery","August 10, 1689"
182,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","indemnity, mackay, Aberdeen, Dalrymple, Kirk, Derry, prisoners","August 13, 1689"
183,Lord Melville,Duke of Hamilton ,"51.50673486004276, -0.12083646321188168","55.952499, -3.172500","Ireland, Scotland, Schomberg, Solmes, Irish, Cap. Withers","August 13, 1689"
184,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Raith, Hamilton, politics","August 13, 1689"
185,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, council, Mackay, Culloden, Skelmorlie, west","August 13, 1689"
186,Mr. John Law,Mr. Kennedy of Cloburn ,"55.948889, -3.190556","55.67371, -3.7817","church affairs, prelacy, government","August 13, 1689"
187,"Sir John Hall, Convention of Royal Burghs",Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","grievances, privileges","August 14, 1689"
188,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","English army, Lochfergus, Kirk, Inneskillen, Shrewsbury","August 15, 1689"
189,Duke of Hamilton ,Lord Melville ,"55.952499, -3.172500","51.50673486004276, -0.12083646321188168","Schomberg, Bangor Bay, Mackay, Privy council","August 16, 1689"
190,Marquis of Lothian,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, favor, troops, Tweeddale","August 16, 1689"
191,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Schomberg, Bangor, Hamilton, Breadalbane, Highlands","August 16, 1689"
192,Mr. Alexander Pitcairn ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Church, prelacy, presbytery, Edinburgh, General Assembly, parliament, committee","August 19, 1689"
193,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church government, protestant religion, letters under a cover, Israel","August 20, 1689"
194,Marquis of Lothian,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","England, his son, Drumlanrig","August 20, 1689"
195,Sir Patrick Hume of Polwarth ,King William ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Court, Ruthven, service, council","August 20, 1689"
196,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, Council, troops","August 20, 1689"
197,Lord of Privy Council,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","ship, Glasgow, French man-of-war, trade","August 22, 1689"
198,Sir David Nairne ,Earl of Leven ,"55.948889, -3.190556","51.403332, -0.337500","Irish army, Edinburgh Castle, reputation","August 22, 1689"
199,Major-General Mackay ,Heritors in Atholl ,"56.77083025, -3.854663248",56.704 -3.794,"Castle Blair, Dunkeld, Majesties forces","August 28, 1689"
200,Sir Archibald Murray of Blackbarony ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","station, service, council","August 29, 1689"
201,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Court, Church, England, ministers","August 29, 1689"
202,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, Edinburgh Castle, council, Gordon, Treasury, Carrickfergus, Israel","August 31, 1689"
203,Mr. Gilbert Eliot ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, castle, adjournment, Crawford","August 1, 1689"
204,Marquis of Douglas ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Ross, Provost Edinburgh, enemies","September 3, 1689"
205,Earl of Eglinton,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Mackay, highlands, yorkshire, wife, parliament","September 3, 1689"
206,Lord Cardross ,Lord Melville ,"56.396999, -3.437000","51.50673486004276, -0.12083646321188168","Mackay, provisions, garrisons, starving, troops","September 3, 1689"
207,Mr. Thomas Dunbar of Grange ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","church, parliament, presbytery, service","September 4, 1689"
208,Lieutenant-Colonel Buchan ,Mr. Nairne,"55.948612, -3.200833","55.948889, -3.190556","Mackay, Portland, soldiers, pay, Leven, relief, Slezer, Highlands","September 5, 1689"
209,Sir Alexander Swintoun ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","regiment, information","September 5, 1689"
210,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","civil government, contravention, ministers, rebels","September 5, 1689"
211,Mr. William Livingston of Kilsyth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","mercy, bounty","September 5, 1689"
212,Sir Patrick Murray ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","trade, custom offices, duties, wartime, Holland, Council, Treasury, parliament, appointments","September 8, 1689"
213,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","prisoners, rebels, Mackay","September 9, 1689"
214,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","indemnity, Hamilton, christendom","September 10, 1689"
215,Earl of Kintore,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Court, black box, service","September 10, 1689"
216,Sir Thomas Moncreiffe,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Treasury, customs, foreign excise, Hamilton","September 10, 1689"
217,Sir Alexander Bruce ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","privy council, indemnity, Queensberry","September 10,1689"
218,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Scots and English officers, council, Crawford, dragoons, Mint, parliament","September 10, 1689"
219,Lord Livingston ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","public peace, Sutherland, Lord Duffus, Hamilton, highland, Crawford, rebels, testimony, faithfulness","September 12, 1689"
220,James Murray of Philiphaugh ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Queensbury, Hamilton, mismanagement, Club, ","September 12, 1689"
221,James Murray of Philiphaugh ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Queensbury, Hamilton, friendship, Jereswood","September 14, 1689"
222,Walter Corbets ,-,"56.77083025, -3.854663248","51.403332, -0.337500",army provisions,"September 18, 1689"
223,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, Hamilton, Dalrymple, Melville, council, church, country","September 19, 1689"
224,Magistrates of Edinburgh ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","ministers, stipends, funds","September 19, 1689"
225,Colonel Robert Lundie ,Lord Melville ,"55.006763, -7.318268","51.50673486004276, -0.12083646321188168","petition, Londonderry, hazard, Monmouth, Dorcet, Shrewsbury","September 23, 1689"
226,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, Scotland, King",September 1689
227,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Council, Jacobite lords, Hastings, prisoners, Mackay, Portland, Club, Claim of Right",September 1689
228,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","ministers, church, enemies, presbyterians, episcopalians","October 3, 1689"
229,Sir John Hall ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Provost, magistrates","October 3, 1689"
230,Duke of Schomberg,Earl of Leven ,"54.0, -6.41667","51.50673486004276, -0.12083646321188168","army, reinforcements, Dublin, Danish","October 6, 1689"
231,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","presbyterian ministers, church, postmaster mein, Ireland, broken letters","October 8, 1689"
232,Sir William Lockhart ,Lord Melville ,"55.971829446, -3.408831698","51.50673486004276, -0.12083646321188168","Scotland, Lords of Session, Stair, King","October 9, 1689"
233,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Council, Signet, King, Protestantism, parliament, K. James, Hamilton, Queen, Dundee, ministers ","October 12, 1689"
234,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Signet, information","October 15, 1689"
235,Earl of Crawford,[uncertain],"55.948889, -3.190556",,"clergy, King","October 15, 1689"
236,Sir William Anstuther ,Lord Melville ,"51.50673486004276, -0.12083646321188168","51.50673486004276, -0.12083646321188168","Annandale, Scotland, service","October 20, 1689"
237,Sir William Anstuther ,Lord Annandale,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Court, Scotland, French fleet","October 20, 1689"
238,Lord Melville,Earl of Crawford ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Signet, Lords of Session","October 20, 1689"
239,Lord Melville ,Privy Council ,"51.503246, -0.203798","55.948889, -3.190556",College of Justice,"October 22, 1689"
240,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Leven, Episcopal clergy, deprivations, gospel","October 24, 1689"
241,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","religion, service, lords of session","October 29, 1689"
242,Duke of Hamilton ,King William ,"55.952499, -3.172500","51.403332, -0.337500","parliament, church affairs, justice, treasury, amry and garrisons, Mint, admiralty, high commissioner",October 1689
243,Lord Melville,Presbyterian Ministers ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","petition, King William, church government",October 1689
244,Sir James Falconar of Phesdo ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","gratitude, parliament","November 1, 1689"
245,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","parliament, proceedings, Crawfurd, allegiance, Holland, Ireland","November 2, 1689"
246,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Lady Maitland, papists","November 5, 1689"
247,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Scrimizer, Elphinson, Dalrymple","November 5, 1689"
248,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","episcopal ministers, prelacy, presbyterians, board, Glasgow","November 5, 1689"
249,Mr. Gilbert Eliot ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, information","November 7, 1689"
250,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","english forces, Mr. Aird, K. James, Church of Scotland, popery, council, presbyterian ministers, Scotland, Ireland","November 7, 1689"
251,Sir William Anstuther ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Advocate, Session, Club, K. James, England","November 12, 1689"
252,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Advocate, Club, parliament","November 12, 1689"
253,Sir Duncan Campbell of Auchenbreck ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168",title,"November 12, 1689"
254,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","skipper, admiralty, ship, scotsman","November 14, 1689"
255,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, episcopal clergy, prelacy, ministers, bishops, papists, protestants","November 14, 1689"
256,Sir Robert Sinclair of Stevenston,Lord Melville ,"55.6397, -4.75339","51.50673486004276, -0.12083646321188168","service, drudgery, vacant, Bench","November 15, 1689"
257,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","COurt, ministers, parliament, Kirkudbright, Carstares","November 19, 1689"
258,Lord Melville ,Minutes of Presbyterian Ministers ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","episcopal clergy, privy council, King William, Queen Mary, presbyterian ministers, church of scotland, widows and children","November 21, 1689"
259,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","bishop of salisbury, ministers, church, Jews, Presbyterians","November 23, 1689"
260,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Castle, Balcarres, Gilbert Elliot, Anderson, tollbooth, prisoner","November 28, 1689"
261,King James ,Laird of McNaughten ,"53.342686, -6.267118",,"forces, service, Seaforth, Berwick, religion, law, liberty, unnatural rebellion","November 30, 1689"
262,King James ,Colonel Cannon ,"53.342686, -6.267118",,"Dundee, enemies, Seaforth, unnatural rebellion","November 30, 1689"
263,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Stinson, John Lauder, Scotland, Scrimizer, Nairns, Edinburgh","November, 1689"
264,Lord Melville ,Earl of Crawford ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Bishoop of Salisbury, Scotland, Holland-House, Captain Kennedy, Postmaster General","December 1, 1689"
265,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","David Drummond, prison, Munro's papers","December 3, 1689"
266,Lord Melville ,Earl of Leven ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","Bishop of Salisbury, nonconfromists, Scotland, Holland House, Edinburgh Castle, garrison","December 5, 1689"
267,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Presbyterian, church matters, ministers","December 5, 1689"
268,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","court, club, council, service, parliament, Cardross, Cathcart","December 5, 1689"
269,King William ,Scottish Parliament,"51.503246, -0.203798","55.948889, -3.190556",-,"December 7, 1689"
270,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","presbyterian interest, episcopal clergy, Ishmael, Hagar, Isaac","December 10, 1689"
271,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","pamphlet, Stair, Carstares, Schomberg","December 10, 1689"
272,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, parliament, judiciary","December 12, 1689"
273,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, council, oath de fideli, excise, Leven","December 12,1689"
274,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","service, council, Hamilton, King","December 12, 1689"
275,Lord Cardross ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, oath de fideli, Bible, Scottish, presbyterian, Dumfries, Kirkudbright","December 18, 1689"
276,Duke of Shrewsberry ,Lord Melville ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Captain Hugh Campbell, spy, England","December 19, 1689"
277,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","service, God, Queen, Hamilton, religion, parliament, oath de fideli, bible","December 19, 1689"
278,Mr. Gilbert Eliot ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Kennedy, enemy, Newry, garrison, Clunis, Enniskillen, Lisburn Castle, Armagh, Ireland","December 19, 1689"
279,Earl of Crawford,-,"55.948889, -3.190556",,"Bishop of Salisbury, church, commissioner, government","December 21, 1689"
280,Sir John Lauder of Fountainhall ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","duty, God, prince, Lockhart","December 22, 1689"
281,Lord Neil Campbell ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","journey, oath of allegiance, borders, highlands, frigates, harbors, Clyde, Dumbarton, weather","December 24, 1689"
282,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Aberdeen, Hamilton, church, episcopal clergy, ministers, K. James prayers","December 24, 1689"
283,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","service, council, commissions","December 26, 1689"
284,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","governors, government, council, Club, army supplies","December 26, 1689"
285,Sir John Dalrymple ,Lord Melville ,"54.52429, -1.55039","51.50673486004276, -0.12083646321188168","Danish troops, Dr. Pitcair, horses","December 26, 1689"
286,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Pitlever, Club, methods","December 30, 1689"
287,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","customs collectors, presbyterian, civil government, Christ, Presbytery, Elijah, Ezra, Israel","December 31, 1689"
288,Sir James Dalrymple ,Lord Melville ,"54.52429, -1.55039",,"King, Jacobites, Club, Ireland","January 1, 1690"
289,Earl of Argyll,Earl of Portland,"55.860916, -4.251433","51.403332, -0.337500","letter, King William","January 2, 1690"
290,Mr. Gilbert Eliot ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","dragoons, rebels, Menteith","January 4, 1690"
291,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, Tweeddale, Club, Argyll, highland clans, Gordon, Edinburgh, regiments","January 4, 1690"
292,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, favor, parliament","January 7, 1690"
293,Sir Patrick Hume of Polwarth ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","commissions, presentations","January 7, 1690"
294,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","favor, malversations, Presbyterians, Hamilton","January 9, 1690"
295,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Mackay, Portland, King, firearms, ammunition","January 10, 1690"
296,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, west, garrison, Inverlochy, lowlanders, rebels, Ireland, highlands, Danes, Glasgow, presbyterians","January 10, 1690"
297,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, divisions, prisoner, highlands","January 11, 1690"
298,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, Portland, England, church, presbyterian ministers, Hamilton","January 14, 1690"
299,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Captain Kennedy, Ireland, Glasgow, Schomberg, supplies","January 16, 1690"
300,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, prebyterians, Ireland, Inverlochy, Balcarres, prisoner, K. James","January 16, 1690"
301,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Tarbat, session, Club, service, ministers, jacobites","January 17, 1690"
302,Earl of Argyll,King William ,"55.948889, -3.190556","51.504997, -0.187752","Gordon, Arburchell, estate","January 20, 1690"
303,Earl of Argyll,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","arburchell, Gordon, friendship","January 20, 1690"
304,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","patronage, parliament","January 20, 1690"
305,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","episcopal ministers, commissioners, judges, government, church matters, Scotland, Irish prisoners","January 21, 1690"
306,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","friendship, libel, King, Aberuchell","January 21, 1690"
307,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","service, friendship, Ayr, ministers, council, Hamilton","January 21, 1690"
308,Lord Melville ,Earl of Crawford ,"51.50673486004276, -0.12083646321188168","55.948889, -3.190556","arms, ammunition, scotland, Holland, France, parliament, mistakes, difficulties, King","January 22, 1690"
309,Marquis of Lothian,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","duties, troop of guards, service","January 23, 1690"
310,Lord Carmichael ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","interest, service, King","January 24, 1690"
311,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","printer, prisone, council, Crawford, King, parliament, Club","January 25, 1690"
312,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Scotland, trouble, government, printer, Club, Hamilton, Crawford","January 25, 1690"
313,Earl of Cassillis ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","treasury, revenue, Holyrood House, printer, prison","January 28, 1690"
314,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Scotland, King, visit, Christ, Prince, Israel","January 28, 1690"
315,Sir James Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, Sumptary Act, Ayr, Club, English","January 30, 1690"
316,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Club, Hamilton, Jacobites, Presbyterians, commission","January 31, 1690"
317,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Jacobites, King, Scotland, presbyterian, church, nonconformists","February 4, 1690"
318,Sir William Lockhart ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","coronation, ireland, Club, Hamilton, parliament","February 4, 1690"
319,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, Cameronians, Ayr, government, Jacobites, sumptary, roll","February 4, 1690"
320,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Ireland, Buchan, King, Club, Jacobites","February 7, 1690"
321,The Privy Council ,King William ,"55.948889, -3.190556","51.504997, -0.187752","King, Scotland, troops, kingdom","February 8, 1690"
322,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Skelmorlie, Belfast, intelligence, frigates, Ireland, parliament","February 8, 1690"
323,Duke of Shrewsberry ,Lord Melville ,"51.504444, -0.125556","51.50673486004276, -0.12083646321188168","Peter Frazer, Scotland, character, observe","February 8, 1690"
324,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","seamen, service, fleet, treasury","February 8, 1690"
325,Sir William Lockhart ,Mr. James Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","King, Hamilton, council","February 8, 1690"
326,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Annandale, Club, Hamilton","February 8, 1690"
327,Earl of Lothian ,King William ,"55.948889, -3.190556","51.504997, -0.187752","troop of guards, royal bounty","February 11, 1690"
328,Earl of Lothian ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","scots guards, service, King","February 11, 1690"
329,Earl of Argyll,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Arburchell, King, Leven, money","February 11, 1690"
330,Sir Patrick Hume of Polwarth and Duncan Forbes,King William ,"55.948889, -3.190556","51.504997, -0.187752","dissatification, parliament, Jacobites, ""dark clouds""","February 11, 1690"
331,Sir Patrick Hume of Polwarth and Duncan Forbes,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","health, progress, King's service","February 11, 1690"
332,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, King, parliament","February 13, 1690"
333,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, council, parliament","February 15, 1690"
334,Sir Patrick Hume of Polwarth and Duncan Forbes,King William ,"55.948889, -3.190556","51.504997, -0.187752","security, divisions, parliament, session","February 15, 1690"
335,Sir Patrick Hume of Polwarth and Duncan Forbes,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","divisions, Scotland, King's service, danger","February 15, 1690"
336,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Strachan, Melfort, Ireland, K. James, Scotland, Erroll, France, french fleet, Schomberg, Gordon","February 18, 1690"
337,Earl of Argyll,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Hamilton, honor, King, packet, K. James, Strachan, papist, Dublin, Greenock, letters","February 20, 1690"
338,The Privy Council ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","packet, Strachan, Erroll, letters, Argyll, Seaforth, Berwick, K. James, Ireland, french fleet, frigates","February 20, 1690"
339,Earl of Crawford,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","council, difficulty, prisoner, presbyterian, episcopal, western southern shires","February 20, 1690"
340,Sir John Dalrymple ,Lord Melville ,"55.948889, -3.190556","51.50673486004276, -0.12083646321188168","Scotland, K. James, Ireland","February 20, 1690"
